timestamp,X,Y,Z,VX,VY,VZ
157.16,-11.509379901357246,-1.5764758412717597,-10.334677470646744,0.1507679802741923,-0.7577841814754603,-18.792930400903977
157.16,-11.50562281258548,-1.597491066419925,-10.03577108391745,0.16632051635548536,-0.7342926908379686,-18.87199547406902
157.16,-11.411335925108142,-1.598233421115345,-9.702799227947818,0.08926560155263526,-0.7087683411306274,-18.98501721459022
157.2,-11.357412614852485,-1.6504641260251884,-10.168458556854935,-0.051701922985064715,-0.6311659809155655,-19.438712968751833
157.2,-11.291485556047585,-1.6043793953322576,-9.819756983763767,-0.035790899134126836,-0.6407901334290865,-19.40261568560871
157.2,-11.342768907032397,-1.3366127244065604,-9.452864438283683,-0.13963593699795923,-0.7314452405401188,-19.55272354785766
157.2,-11.351733252269181,-1.2878670792661215,-9.1286259301032,-0.22464506654693953,-0.6843452764838474,-19.61703554880235
157.2,-11.357020415114398,-1.2979739825455008,-8.824154339673873,-0.24768828822140954,-0.6045407155281332,-19.642403422929224
157.24,-11.20148854401767,-1.1630987388733196,-9.25625164483133,-0.40359650300314165,-0.6310439284616293,-20.09105394218532
157.24,-11.176595730755846,-1.1521977876123577,-8.965976237559294,-0.449631200801091,-0.5342019503082128,-20.09842712923158
157.28,-11.132839346198784,-1.0817101988340025,-9.509312714233138,-0.46685663883985595,-0.4499704265762418,-20.473475506950816
157.28,-11.034440790465657,-0.9485667044841041,-9.219207386971137,-0.4258855586886167,-0.5054221392260728,-20.484510271163444
157.28,-10.90964898052102,-0.8398724559514481,-8.835106181273062,-0.37183506163444907,-0.49012817472557896,-20.56352329623457
157.28,-10.913086764021164,-0.7782101728646236,-8.496285261832503,-0.3754086659181995,-0.5104868180342028,-20.563632567411542
157.32,-10.94441421010241,-0.706266203285166,-8.986220192349409,-0.37977323072780145,-0.5400724294987175,-20.995208793759886
157.32,-10.823571970697694,-0.669821858914329,-8.692579845739452,-0.3809238699860027,-0.5415561315464169,-20.995002766124205
157.32,-10.806767398180003,-0.6784331080502897,-8.385885658969023,-0.38783084307199134,-0.4878077139899207,-20.98312157436531
157.32,-10.711061235037366,-0.8431569801510485,-8.01779135590334,-0.33524786062342626,-0.5337391122023097,-20.863378946547513
157.36,-10.628986217774836,-0.8942080790058589,-8.55802092359295,-0.35772830900690494,-0.5220239350582432,-21.204830882805215
157.36,-10.54981912334196,-0.8494886546131382,-8.272692631511937,-0.39686919074870913,-0.46555259012348627,-21.136175965809432
157.36,-10.631418223367236,-0.7387125685924939,-7.890684937591732,-0.39123319432860687,-0.4128359100479251,-20.876580772585665
157.4,-10.68563202258683,-0.6233385077705189,-8.24885545237237,-0.27048667429739964,-0.5158068820714038,-21.267762439074765
157.4,-10.689773480721223,-0.5750003230762548,-7.919763110975736,-0.2614429504377058,-0.5099698228575757,-21.23093509807611
157.4,-10.680629154547304,-0.5625799066280183,-7.642704404798725,-0.26077619501875193,-0.49633288606885956,-21.169083709860786
157.44,-10.68544498141234,-0.615668396539227,-8.176049994789189,-0.3230812890302678,-0.3583646724315815,-21.56636183392538
157.44,-10.658242433520837,-0.5605156467651367,-7.871642734776991,-0.37309314853454406,-0.22886621908516883,-21.62055967424015
157.44,-10.600440177731327,-0.5210308260837423,-7.567597300188465,-0.28160141458442534,-0.23343822176654655,-21.678341593331616
157.48,-10.476757386428853,-0.5049923534779451,-8.12058684244339,-0.28122842602287174,-0.24155704605791506,-22.12510453754113
157.48,-10.50057459221916,-0.5560708645376197,-7.751976725567843,-0.23948699445857027,-0.13653214676951922,-22.2390385579232
157.52,-10.528371704490567,-0.5941529272351727,-8.3404808583786,-0.1762688212640895,-0.15674427553707657,-22.623726680840168
157.52,-10.735172532963169,-0.543205357796302,-7.987253184314323,-0.006354764518601164,-0.17534267997227546,-22.616699421850992
157.52,-10.762498057337705,-0.47732771367242177,-7.5184184692697595,0.06038998635704634,-0.12771474642674846,-22.763896355362515
157.52,-10.663855732164958,-0.507984350511903,-7.1216727644068385,-0.08010835315325737,0.03412395377074212,-22.79757565112996
157.56,-10.558865107353483,-0.4951151466667251,-7.7670460669935055,-0.12290812782018785,0.07296300427965526,-23.19060656451094
157.56,-10.476293536650267,-0.4738791906828566,-7.490411608537957,-0.1520587808125932,0.08424627489091369,-23.16328680608965
157.56,-10.375328540975364,-0.3992804730897335,-7.176855021092087,-0.19115000346684288,0.20933079127343007,-23.151720670524877
157.56,-10.313548279446115,-0.3972440207653793,-6.8283384350419185,-0.16094065928357779,0.299479168133215,-23.219131269191553
157.6,-10.343182240866017,-0.3612101176477397,-7.470536091739126,-0.1858219452564734,0.35486715813930647,-23.577504490716226
157.6,-10.294372535383621,-0.3860697153422465,-7.2092487759522,-0.21769888332579396,0.3929121929260568,-23.551695068511666
157.64,-10.272912708016566,-0.40742467172385094,-7.760511980112486,-0.28466142104518005,0.4333376510359743,-23.98807058424468
157.64,-10.203700537191505,-0.307443142969924,-7.475806980265344,-0.33581891097645544,0.4393713257243739,-24.09062150747415
157.64,-10.064622335601962,-0.4447571867189569,-7.078720452153842,-0.5049441816145996,0.5433235107089297,-24.05472041542549
157.64,-10.087762572650707,-0.4439038129636106,-6.747927928219195,-0.3505779172496647,0.5489772256946076,-24.086527504248583
157.68,-10.176006428164197,-0.3775034423429106,-7.376472570989145,-0.0665183278234238,0.5667051702570419,-24.409678191216614
157.68,-10.196139654063531,-0.3950897662306341,-7.041701219259386,-0.04039755425519079,0.5942096262916091,-24.248266990781964
157.68,-10.307166134150291,-0.3767848792950147,-6.6605142919220075,0.04615550664563716,0.7282431732007792,-24.147220341568776
157.68,-10.329517176118644,-0.38890343777760805,-6.312067162315292,0.05138796631866292,0.7984048423078793,-24.045876670907223
157.76,-10.188463301853652,-0.35938670192133115,-7.877408611050738,0.0021955725202397166,0.6146969119408235,-24.85534153378028
157.76,-10.08338133932729,-0.45784352960153735,-7.571505868098354,-0.004535338753403661,0.5931947492818449,-24.942467444640158
157.76,-10.023197029740174,-0.44805656922215537,-7.25129032132444,-0.08158976237764173,0.619329986116331,-25.058255133022506
157.8,-9.957890390611793,-0.4473160856913757,-7.753638257737338,-0.20414836746101622,0.5908923941740505,-25.563097612316383
157.84,-9.981453769523384,-0.4728205067810791,-8.450534799391106,-0.1914276618503055,0.7015339058793699,-25.915885321006787
157.84,-9.876685025463033,-0.5218062032568839,-8.133215611368648,-0.0756133202691041,0.8678423726970962,-25.895543601389008
157.84,-9.796629392610717,-0.5993040359860428,-7.831544607259437,-0.03212071501201233,0.9649794956152484,-25.98926605249197
157.88,-9.81439404664513,-0.5620615248115334,-8.515673818016673,-0.05384627063654991,0.9853435034232185,-26.41987113705081
157.88,-9.793929926832186,-0.5726718469219224,-8.248774769760242,-0.06614794808928813,1.0110924612376058,-26.39137359146016
157.96,-9.689932614271186,-0.44054883538706263,-10.092420669958766,-0.08549715310441346,0.9468478797864285,-27.15911137826837
158.08,-9.676785124366218,-0.29059754098346186,-13.069105850805506,-0.2968658083627076,0.8384566492430564,-28.331452702849838
158.28,-9.733548995327393,-0.1226219133824591,-18.928886636133928,-0.30130166370159556,0.8407802478745029,-30.29815991046642
158.4,-9.768988707371722,-0.021838156880793474,-22.636421956145227,-0.2999963223582849,0.8408167956163883,-31.47666916767299
158.44,-9.779203825475033,0.005297718751172066,-23.90846804946961,-0.2986664224581189,0.8422192757521613,-31.863851404070044
158.56,-9.814875097970242,0.10444182372875661,-27.799688563547566,-0.30306168406117134,0.8394219043075151,-33.04190620853589
158.88,-9.90815424327222,0.3720189110701558,-38.878473960660614,-0.3052328844523236,0.8367998275188685,-36.18122414111146
158.88,-9.911259780765665,0.3718021193568365,-38.88039959070276,-0.3045171255986973,0.8370467955777096,-36.178481314771126
158.88,-9.909204947371103,0.37007198398471913,-38.877136403382494,-0.30533008435206915,0.8388657407520514,-36.180131038731965
158.92,-9.919609575750922,0.4010452592687726,-40.334336713691066,-0.3034725406340381,0.8391224330635243,-36.570535606586084
158.96,-9.929717176692899,0.4327061121307842,-41.80501739406067,-0.30293718450883117,0.8385027348670617,-36.96869628990754
158.96,-9.93137725289507,0.43581281034450325,-41.80525589703406,-0.3005611804549497,0.8386661493466132,-36.96901998518693
159.0,-9.942799162042181,0.4721958988522662,-43.29171333755286,-0.303213840177603,0.8367789394618635,-37.362569688368744
159.04,-9.954412984137939,0.505838443160838,-44.79327407735056,-0.30373377075622077,0.8338936268228629,-37.75452873692792
159.08,-9.967619608672008,0.5423713596243792,-46.31234222993829,-0.3010915494915692,0.8356084542023413,-38.14572734620661
159.08,-9.96690697598017,0.5423265420288036,-46.30896694318003,-0.3025827288157228,0.8341521263989293,-38.14910419601159
159.08,-9.962291443664782,0.5447116543298615,-46.30137970467213,-0.30335172191864246,0.830964229744708,-38.15297615588789
159.12,-9.974059833092547,0.5779048865136822,-47.835743353724666,-0.30251587050543477,0.8298440091038867,-38.54479855275515
159.12,-9.971835701059506,0.5782709464546231,-47.83835747957499,-0.3023956765847523,0.8298028556719516,-38.54419494007136
159.16,-9.983436737802487,0.6143089931500434,-49.38797224867704,-0.3034538791126801,0.8283230971549547,-38.93711892825011
159.2,-9.997989124670669,0.6488924836745595,-50.95359449270242,-0.30363098347948586,0.824819352358647,-39.3329778482179
159.2,-9.999102384107372,0.6458878469716062,-50.95508404430094,-0.3063340012745355,0.825071267782588,-39.33191359976404
159.2,-9.999455806644047,0.6474807272584054,-50.951655279105225,-0.30523140094918566,0.8253317647375701,-39.33350946993583
159.24,-10.01339113220287,0.6796453721138561,-52.53490778352505,-0.3061117440114846,0.8199253012983233,-39.726237654061734
159.24,-10.016828072277727,0.6806105925676715,-52.53413737633951,-0.30815749386032765,0.8206465856421176,-39.72704984190681
159.28,-10.028087469397612,0.7162340339109445,-54.13194455101973,-0.30404032857134566,0.8224470812180761,-40.12089735153419
159.28,-10.027477311096003,0.7107916129641769,-54.13036084768989,-0.30349633238485574,0.8256321903633997,-40.123110789356744
159.32,-10.036988899076988,0.7476103683890867,-55.74117708112,-0.3020098668118201,0.8241753836758077,-40.514093408102966
159.4,-10.061653488569407,0.8136761943633927,-59.01925894717094,-0.3025438226594804,0.8264205942125887,-41.30011350200107
159.4,-10.063476793813955,0.8137769017871259,-59.016882063410605,-0.3020270846539847,0.826222919146173,-41.29788272117929
159.4,-10.062335420190726,0.8115870933734904,-59.014589256791304,-0.3027980287202872,0.8270672540032425,-41.298103656206145
159.44,-10.073435050261631,0.8441981967702266,-60.671219798051396,-0.30289714032198933,0.8269300433723077,-41.69360952639535
