frame_idx,ball_idx,world_x,world_y,world_z
6712,0,-21.218184,60.359764,6.8335104
941,0,-21.223026,60.367188,6.832119
6846,0,-21.217016,60.34244,6.8328648
11226,0,-21.218657,60.33763,6.836462
8924,0,-21.206345,60.31643,6.8344154
7929,0,-21.208591,60.32474,6.8348794
9573,0,-21.20485,60.311184,6.836211
1366,0,-21.220022,60.360664,6.833042
7667,0,-21.204445,60.30965,6.836048
13176,0,-21.218643,60.3551,6.837339
767,0,-21.222757,60.366337,6.8325076
371,0,-21.220364,60.35844,6.832816
505,0,-21.22072,60.36191,6.833158
8316,0,-21.206404,60.32047,6.8350086
1550,0,-21.207705,60.32973,6.835021
13563,0,-21.21908,60.35914,6.8368716
12568,0,-21.219648,60.36032,6.8357058
9137,0,-21.217726,60.339638,6.8340626
11573,0,-21.221825,60.3472,6.8360853
10915,0,-21.206924,60.3267,6.838274
7921,1,-21.20622,60.313316,6.8362594
584,0,-21.220835,60.36263,6.832576
9262,0,-21.206953,60.31636,6.834527
12173,1,-21.217693,60.33958,6.835101
7871,0,-21.220652,60.348507,6.8338494
13043,0,-21.216162,60.35203,6.835493
1367,0,-21.21995,60.360558,6.833007
12781,0,-21.220812,60.34525,6.8359127
1105,0,-21.220963,60.362167,6.8332515
12385,0,-21.216932,60.35331,6.8351064
11390,0,-21.21782,60.3547,6.8360324
10994,0,-21.216398,60.335648,6.834072
11128,0,-21.22031,60.345867,6.83353
13509,1,-21.219273,60.356842,6.837298
8346,0,-21.220795,60.346443,6.835857
6481,1,-21.21903,60.343475,6.833456
6693,0,-21.215525,60.33788,6.8348975
1318,0,-21.220844,60.362137,6.833015
6827,0,-21.218845,60.360523,6.833487
6431,0,-21.219784,60.347443,6.833174
4441,0,-21.218002,60.353195,6.832465
9688,0,-21.218454,60.341755,6.8351703
8559,0,-21.204882,60.31089,6.837113
12203,1,-21.219505,60.343094,6.8376026
1135,0,-21.220974,60.362305,6.8332562
12549,0,-21.219662,60.360558,6.8341117
10762,0,-21.214985,60.332153,6.8355384
13198,0,-21.220106,60.361866,6.8350286
527,0,-21.220667,60.361767,6.8331985
11807,0,-21.223293,60.36953,6.833088
8114,0,-21.207575,60.339066,6.8347416
8897,0,-21.205387,60.312363,6.8369956
1086,0,-21.221209,60.363567,6.8321753
13411,0,-21.217335,60.357105,6.8345575
12020,0,-21.223,60.366524,6.8350716
8327,0,-21.222334,60.351856,6.8336735
10763,0,-21.214968,60.332092,6.835419
3467,0,-21.205795,60.317562,6.83741
769,0,-21.22356,60.3682,6.8321185
10892,1,-21.210974,60.325855,6.835027
13228,0,-21.219398,60.36105,6.834368
12966,0,-21.221136,60.363094,6.835927
557,0,-21.220903,60.362843,6.8324723
6462,0,-21.219345,60.345966,6.8339305
11575,0,-21.223898,60.368958,6.835198
10318,0,-21.206314,60.318993,6.8365345
9189,0,-21.207573,60.338924,6.8344736
8665,0,-21.204966,60.313416,6.837013
11401,0,-21.21596,60.33266,6.835883
13441,0,-21.219376,60.360573,6.8345704
7670,0,-21.20562,60.319073,6.834907
11576,1,-21.22052,60.362915,6.834829
12184,0,-21.221457,60.363625,6.835207
508,0,-21.22082,60.362534,6.83266
11526,0,-21.220564,60.360588,6.8354406
12571,0,-21.222872,60.365932,6.834219
11180,0,-21.220953,60.362675,6.8348117
7749,0,-21.22291,60.36835,6.8343663
7883,0,-21.206251,60.320637,6.8344817
